State,Day 0,Population,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,16-Apr,17-Apr,18-Apr,19-Apr,20-Apr,21-Apr,22-Apr,23-Apr,24-Apr,25-Apr,26-Apr,27-Apr,28-Apr,29-Apr,30-Apr,1-May,2-May,3-May,4-May,5-May,6-May,7-May,8-May,9-May,10-May,11-May,12-May,13-May,14-May,15-May,16-May,17-May,18-May,19-May,20-May
Georgia,2-Mar,10617423,4638,5348,5831,6160,6647,7314,8818,9901,10566,11483,12159,12452,13315,14223,14987,15669,17194,17669,18301,18947,19881,20740,21512,22147,22695,23401,23913,24615,25572,26155,27270,28306,28602,29368,29711,30696,31439,32106,32532,33441,33927,34635,35332,35858,36681,37147,37701,38081,38721,39647
Guam,15-Mar,162742,77,82,84,93,112,113,121,125,128,130,133,133,135,135,135,135,136,136,136,136,136,136,136,141,141,141,144,145,145,146,146,148,150,150,150,151,151,151,151,151,151,152,152,153,154,154,154,154,154,165
Hawaii,6-Mar,1415872,208,258,285,319,351,371,387,410,435,442,465,486,499,504,517,530,541,553,574,580,582,584,592,596,601,603,606,607,609,613,618,619,620,620,621,625,626,629,629,631,632,634,635,637,637,638,639,640,640,641
Idaho,14-Mar,1787065,525,669,891,1013,1077,1101,1170,1210,1232,1353,1396,1407,1426,1453,1464,1587,1609,1655,1668,1672,1736,1766,1802,1836,1870,1887,1897,1917,1952,1984,2015,2035,2061,2061,2106,22127,2158,2178,2205,2230,2230,2260,2293,2324,2351,2389,2419,2419,2455,2476
Illinois,24-Jan,12671821,6980,7695,8904,10357,11256,12262,13549,15078,16422,17887,19810,20852,22025,23247,24593,25733,27575,29160,30357,31508,33059,35108,36934,39658,41777,43903,45883,48102,50355,52918,56055,58505,61499,63840,65962,68232,70873,73760,76085,77741,79007,83021,84698,87937,90369,92457,94191,96485,98030,100418
Indiana,6-Mar,6732219,2565,3039,3437,3953,4411,4944,5507,5943,6351,6907,7435,7928,8236,8527,8955,9542,10154,10641,11210,11686,12097,12438,13039,13680,14395,15012,15961,16588,17182,17835,18630,19295,19933,20507,21033,21870,22503,23146,23732,24126,24627,25127,25473,26053,26655,27280,27778,28255,28705,29274
Iowa,9-Mar,3155070,549,614,699,786,868,946,1048,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2902,3159,3641,3748,3924,4445,5092,5476,5868,6376,6843,7145,7884,8641,9169,9703,10111,10404,11059,11457,11671,11959,12373,12912,13289,13675,14049,14328,14651,14955,15349,15614
Kansas,8-Mar,2913314,482,552,620,698,747,845,900,900,1106,1166,1268,1337,1376,1426,1494,1588,1705,1790,1849,1986,2025,2211,2482,2777,3056,3174,3328,3491,3738,4238,4449,4746,5030,5245,5458,5734,6144,6501,6751,6948,7116,7116,7468,7468,7886,7886,7886,8340,8340,8539
Kentucky,7-Mar,4467673,591,680,770,831,917,955,1008,1149,1346,1693,1693,1840,1963,2048,2210,2291,2429,2522,2707,2960,3050,3192,3373,3481,3779,3905,4074,4146,4375,4539,4708,4879,4879,5130,5245,5822,5934,6129,6288,6440,6440,6677,6853,7080,7225,7444,7688,7688,8069,8069
Louisiana,9-Mar,4648794,6424,9150,10297,12496,13010,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25258,25739,26140,26512,26773,27068,27286,27660,28001,28711,29140,29340,29673,29996,30399,30652,30855,31417,31600,31815,32050,32662,33489,33837,34117,34432,34709,35038,35316
Maine,12-Mar,1344212,344,376,432,456,470,499,519,537,560,586,616,633,698,734,770,796,827,847,867,875,888,907,937,965,990,1015,1023,1040,1056,1095,1123,1152,1185,1205,1226,1254,1330,1374,1408,1436,1462,1477,1515,1565,1603,1648,1687,1713,1741,1819
Maryland,6-Mar,6045680,1985,2331,2758,3125,3609,4045,4371,5529,6185,6968,7694,8225,8936,9472,10032,10784,11572,12308,12830,13684,14193,14775,15737,16616,17766,18581,19487,20113,20849,21742,23472,24473,25462,26408,27117,28163,29374,30485,31534,32587,33373,34061,34812,35903,36986,37968,38804,39763,41546,42323
Massachusetts,1-Feb,6939373,7738,8966,10402,11736,12500,13837,15202,16790,18941,20974,22860,25475,26867,28163,29918,32181,34402,36372,39820,41416,43168,44913,47992,50969,53348,54938,56462,58302,60265,62205,64311,66263,68087,69087,70271,72025,73721,75333,76743,77793,78462,79332,80497,80497,83421,84933,86010,86010,87925,88970
Michigan,11-Mar,9996000,9334,10791,12744,14225,15718,17221,18970,20589,21504,22783,23993,24638,25635,27001,28059,29263,30023,30791,31424,32000,32967,33966,35291,36641,37203,37778,38210,39262,40399,41379,42356,43207,43754,43754,44397,45054,45646,46326,46756,47138,47552,48021,48391,49582,50079,50504,51142,51915,52350,53009
Minnesota,7-Mar,5639632,689,742,789,865,935,986,1069,1154,1242,1336,1427,1621,1650,1695,1809,1912,2071,2213,2356,2470,2567,2721,2942,3185,3446,3602,3816,4181,4644,5136,5730,6228,6663,7234,7851,8579,9365,10088,10790,11271,11799,12494,12917,13435,14240,14969,15668,16372,17029,17670
Mississippi,12-Mar,2976149,937,1073,1177,1358,1455,1638,1738,1915,2003,2260,2469,2642,2781,2942,3087,3360,3624,3793,3974,4512,4716,4894,5153,5434,5718,5911,6094,6342,6569,6815,7212,7441,7550,7877,8207,8424,8686,9090,9378,9501,9674,9908,10090,10483,10801,11123,11296,11432,11704,11967
Missouri,8-Mar,6137428,1581,1834,2113,2291,2367,2722,3037,3327,3539,3799,4024,4160,4388,4686,4895,5111,5283,5517,5667,5807,5941,6137,6321,6625,6826,6997,7171,7303,7425,7562,7835,8154,8386,8754,8916,9102,9341,9489,9666,9844,9918,10006,10142,10317,10456,10675,10789,10945,11080,11232
